"title","vote_average","vote_count","budget","movie_id","genres_type","genres_id","original_language","popularity","release_date","revenue","runtime.mins.","ROI"
"The Tailor of Panama",62,92,21000000,2575,"Drama",18,"en",7047975,"2001-02-11",28008462,109,33.3736285714286
"Midnight Special",62,694,18000000,245703,"Adventure",12,"en",32717853,"2016-02-18",6212282,112,-65.4873222222222
"Brooklyn's Finest",62,293,17000000,26390,"Crime",80,"en",18790102,"2009-01-16",29536299,133,73.7429352941177
"The Immigrant",62,250,16000000,152599,"Drama",18,"en",13832464,"2013-07-03",5867686,117,-63.3269625
"The Faculty",62,492,15000000,9276,"Horror",27,"en",21535126,"1998-12-25",40283321,104,168.555473333333
"The Last House on the Left",62,440,15000000,18405,"Crime",80,"en",19760383,"2009-03-13",32721635,110,118.144233333333
"The Wedding Date",62,230,15000000,6961,"Comedy",35,"en",10194097,"2005-02-04",47175038,88,214.500253333333
"The Iron Lady",62,527,13000000,71688,"History",36,"en",233784,"2011-12-30",114956699,105,784.2823
"A Perfect Getaway",62,351,14000000,12403,"Thriller",53,"en",20792603,"2009-06-08",22852638,98,63.2331285714286
"The Shallows",62,1567,17000000,332567,"Horror",27,"en",60829621,"2016-06-24",119100758,86,600.592694117647
"The Astronaut Farmer",62,123,13000000,5172,"Adventure",12,"en",6764437,"2006-10-15",11130889,104,-14.3777769230769
"Barbershop",62,137,12000000,10611,"Comedy",35,"en",10297189,"2002-04-01",75781642,102,531.513683333333
"Harold & Kumar Escape from Guantanamo Bay",62,497,12000000,13335,"Comedy",35,"en",26219598,"2008-04-25",43493123,107,262.442691666667
"Yentl",62,51,12000000,10269,"Music",10402,"en",3389249,"1983-11-18",30400000,132,153.333333333333
"Insidious: Chapter 3",62,983,10000000,280092,"Drama",18,"en",45946524,"2015-06-04",104303851,97,943.03851
"Twilight Zone: The Movie",62,161,10000000,15301,"Drama",18,"en",12902975,"1983-06-24",29450919,101,194.50919
"Pete's Dragon",62,679,65000000,294272,"Adventure",12,"en",31974359,"2016-08-10",143695338,102,121.069750769231
"The Matador",62,136,10000000,9515,"Action",28,"en",5647538,"2005-05-12",17297244,96,72.97244
"Very Bad Things",62,179,30000000,10029,"Comedy",35,"en",5671691,"1998-09-11",9898412,100,-67.0052933333333
"Run, Fatboy, Run",62,238,10000000,7942,"Comedy",35,"en",14905357,"2007-09-06",3.3e+07,100,230
"Albert Nobbs",62,132,8000000,73873,"Drama",18,"en",7802245,"2011-12-21",5634828,113,-29.56465
"In Too Deep",62,17,7000000,22314,"Drama",18,"en",2772178,"1999-08-25",14011454,97,100.163628571429
"Duel in the Sun",62,37,6000000,32275,"Western",37,"en",760445,"1946-12-31",20400000,144,240
"The Wackness",62,94,6000000,13990,"Drama",18,"en",7161051,"2008-07-03",2899975,99,-51.6670833333333
"Bend It Like Beckham",62,578,3500159,455,"Comedy",35,"en",22054546,"2002-04-11",76578641,112,2087.86177999342
"Wonderland",62,73,5000000,4997,"Crime",80,"en",779068,"2003-10-23",2466444,104,-50.67112
"My Big Fat Greek Wedding",62,671,5000000,8346,"Comedy",35,"en",18115566,"2002-02-22",368744044,95,7274.88088
"Redacted",62,37,5000000,11600,"Drama",18,"en",3792015,"2007-01-01",782102,90,-84.35796
"You Kill Me",62,80,4000000,8141,"Comedy",35,"en",6091951,"2007-02-09",2426851,90,-39.328725
"Stake Land",62,285,650000,52015,"Drama",18,"en",12496261,"2010-09-30",33245,98,-94.8853846153846
"Another Happy Day",62,37,4000000,60422,"Comedy",35,"en",3238466,"2011-11-18",355688,119,-91.1078
"A Lonely Place to Die",62,157,4000000,81390,"Adventure",12,"en",830723,"2011-04-09",25345000,99,533.625
"Major Dundee",62,38,3800000,29715,"War",10752,"en",3490215,"1965-04-07",14873,123,-99.6086052631579
"Harper",62,35,3500000,26268,"Action",28,"en",2938973,"1966-02-23",1.2e+07,121,242.857142857143
"Beneath the Planet of the Apes",62,361,3000000,1685,"Adventure",12,"en",24393296,"1970-05-01",18999718,95,533.323933333333
"Session 9",62,251,1500000,10972,"Horror",27,"en",11064228,"2001-08-10",373967,100,-75.0688666666667
"Waiting...",62,237,3000000,7553,"Comedy",35,"en",10230583,"2005-10-07",18637690,94,521.256333333333
"Sands of Iwo Jima",62,33,1000000,18712,"Action",28,"en",3851,"1949-12-14",7800000,100,680
"Alone With Her",62,20,1000000,18206,"Crime",80,"en",2175696,"2006-04-28",10018,78,-98.9982
"Monsters",62,587,500000,43933,"Drama",18,"en",26406001,"2010-06-18",4242978,94,748.5956
"Conversations with Other Women",62,38,450000,15624,"Drama",18,"en",4442355,"2006-06-07",973525,84,116.338888888889
"Tumbleweeds",62,11,312000,55123,"Comedy",35,"en",1505703,"1999-11-28",1281176,102,310.633333333333
"Pink Flamingos",62,110,12000,692,"Horror",27,"en",4553644,"1972-03-12",6e+06,93,49900
"John Carter",61,2124,260000000,49529,"Action",28,"en",43926995,"2012-03-07",284139100,132,9.28426923076923
"Quantum of Solace",61,2965,200000000,10764,"Adventure",12,"en",107928811,"2008-10-30",586090727,106,193.0453635
"Transformers: Dark of the Moon",61,3299,195000000,38356,"Action",28,"en",28529607,"2011-06-28",1123746996,154,476.280510769231
"Rush Hour 3",61,783,140000000,5174,"Action",28,"en",2257178,"2007-08-08",258022233,91,84.301595
"The Twilight Saga: Breaking Dawn - Part 2",61,2553,120000000,50620,"Adventure",12,"en",99687084,"2012-11-13",8.29e+08,115,590.833333333333
"The Incredible Hulk",61,3021,150000000,1724,"Science Fiction",878,"en",62898336,"2008-06-12",163712074,114,9.14138266666667
"Turbo",61,1074,135000000,77950,"Animation",16,"en",44765377,"2013-07-11",282570682,96,109.311616296296
"Night at the Museum: Secret of the Tomb",61,1851,127000000,181533,"Adventure",12,"en",115597753,"2014-12-17",349424282,97,175.13722992126
